,movie,link
0,The Godfather,https://https://www.metacritic.com/movie/the-godfather
1,Citizen Kane,https://https://www.metacritic.com/movie/citizen-kane
2,Rear Window,https://https://www.metacritic.com/movie/rear-window
3,Casablanca,https://https://www.metacritic.com/movie/casablanca
4,Boyhood,https://https://www.metacritic.com/movie/boyhood
5,Three Colors: Red,https://https://www.metacritic.com/movie/three-colors-red
6,Vertigo,https://https://www.metacritic.com/movie/vertigo
7,Notorious,https://https://www.metacritic.com/movie/notorious-1946
8,Singin' in the Rain,https://https://www.metacritic.com/movie/singin-in-the-rain
9,City Lights,https://https://www.metacritic.com/movie/city-lights
10,Moonlight,https://https://www.metacritic.com/movie/moonlight-2016
11,Intolerance,https://https://www.metacritic.com/movie/intolerance
12,Pinocchio,https://https://www.metacritic.com/movie/pinocchio-1940
13,Touch of Evil,https://https://www.metacritic.com/movie/touch-of-evil
14,Au hasard Balthazar,https://https://www.metacritic.com/movie/au-hasard-balthazar
15,The Lady Vanishes,https://https://www.metacritic.com/movie/the-lady-vanishes-1938
16,The Treasure of the Sierra Madre,https://https://www.metacritic.com/movie/the-treasure-of-the-sierra-madre
17,Pan's Labyrinth,https://https://www.metacritic.com/movie/pans-labyrinth
18,Some Like It Hot,https://https://www.metacritic.com/movie/some-like-it-hot
19,North by Northwest,https://https://www.metacritic.com/movie/north-by-northwest
20,Hoop Dreams,https://https://www.metacritic.com/movie/hoop-dreams
21,Rashomon,https://https://www.metacritic.com/movie/rashomon
22,All About Eve,https://https://www.metacritic.com/movie/all-about-eve
23,Jules and Jim,https://https://www.metacritic.com/movie/jules-and-jim
24,The Wild Bunch,https://https://www.metacritic.com/movie/the-wild-bunch
25,My Left Foot,https://https://www.metacritic.com/movie/my-left-foot
26,The Third Man,https://https://www.metacritic.com/movie/the-third-man
27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://https://www.metacritic.com/movie/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb
28,"Quo Vadis, Aida?",https://https://www.metacritic.com/movie/quo-vadis-aida
29,Psycho,https://https://www.metacritic.com/movie/psycho-1960
30,Gone with the Wind,https://https://www.metacritic.com/movie/gone-with-the-wind
31,"4 Months, 3 Weeks and 2 Days",https://https://www.metacritic.com/movie/4-months-3-weeks-and-2-days
32,Battleship Potemkin,https://https://www.metacritic.com/movie/battleship-potemkin
33,A Streetcar Named Desire,https://https://www.metacritic.com/movie/a-streetcar-named-desire
34,The Maltese Falcon,https://https://www.metacritic.com/movie/the-maltese-falcon
35,American Graffiti,https://https://www.metacritic.com/movie/american-graffiti
36,Dumbo,https://https://www.metacritic.com/movie/dumbo-1941
37,Roma,https://https://www.metacritic.com/movie/roma
38,Parasite,https://https://www.metacritic.com/movie/parasite
39,Ran,https://https://www.metacritic.com/movie/ran
40,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",https://https://www.metacritic.com/movie/summer-of-soul-or-when-the-revolution-could-not-be-televised
41,The Shop Around the Corner,https://https://www.metacritic.com/movie/the-shop-around-the-corner
42,12 Angry Men,https://https://www.metacritic.com/movie/12-angry-men
43,Rosemary's Baby,https://https://www.metacritic.com/movie/rosemarys-baby
44,12 Years a Slave,https://https://www.metacritic.com/movie/12-years-a-slave
45,Manchester by the Sea,https://https://www.metacritic.com/movie/manchester-by-the-sea
46,Killer of Sheep,https://https://www.metacritic.com/movie/killer-of-sheep
47,Nashville,https://https://www.metacritic.com/movie/nashville
48,Ratatouille,https://https://www.metacritic.com/movie/ratatouille
49,The Grapes of Wrath,https://https://www.metacritic.com/movie/the-grapes-of-wrath
50,Children of Paradise (1945),https://https://www.metacritic.com/movie/children-of-paradise
51,Mean Streets,https://https://www.metacritic.com/movie/mean-streets
52,Sansho the Bailiff,https://https://www.metacritic.com/movie/sansho-the-bailiff
53,The Lady Eve,https://https://www.metacritic.com/movie/the-lady-eve
54,Gravity,https://https://www.metacritic.com/movie/gravity
55,Fantasia,https://https://www.metacritic.com/movie/fantasia
56,Spirited Away,https://https://www.metacritic.com/movie/spirited-away
57,Beauty and the Beast,https://https://www.metacritic.com/movie/beauty-and-the-beast-1991
58,Small Axe: Lovers Rock,https://https://www.metacritic.com/movie/lovers-rock
59,Toy Story,https://https://www.metacritic.com/movie/toy-story
60,The Bride of Frankenstein,https://https://www.metacritic.com/movie/the-bride-of-frankenstein
61,Don't Look Now,https://https://www.metacritic.com/movie/dont-look-now
62,Aftersun,https://https://www.metacritic.com/movie/aftersun
63,The Social Network,https://https://www.metacritic.com/movie/the-social-network
64,My Fair Lady,https://https://www.metacritic.com/movie/my-fair-lady
65,Portrait of a Lady on Fire,https://https://www.metacritic.com/movie/portrait-of-a-lady-on-fire
66,I Am Not Your Negro,https://https://www.metacritic.com/movie/i-am-not-your-negro
67,Woodstock,https://https://www.metacritic.com/movie/woodstock-1970
68,Rocks,https://https://www.metacritic.com/movie/rocks
69,Snow White and the Seven Dwarfs,https://https://www.metacritic.com/movie/snow-white-and-the-seven-dwarfs
70,Amour,https://https://www.metacritic.com/movie/amour
71,The Hurt Locker,https://https://www.metacritic.com/movie/the-hurt-locker
72,Anatomy of a Murder,https://https://www.metacritic.com/movie/anatomy-of-a-murder
73,Zero Dark Thirty,https://https://www.metacritic.com/movie/zero-dark-thirty
74,Collective,https://https://www.metacritic.com/movie/collective
75,A Separation,https://https://www.metacritic.com/movie/a-separation
76,Double Indemnity,https://https://www.metacritic.com/movie/double-indemnity
77,WALL-E,https://https://www.metacritic.com/movie/wall-e
78,Carol,https://https://www.metacritic.com/movie/carol
79,Before Midnight,https://https://www.metacritic.com/movie/before-midnight
80,Dunkirk,https://https://www.metacritic.com/movie/dunkirk
81,The Man Who Shot Liberty Valance,https://https://www.metacritic.com/movie/the-man-who-shot-liberty-valance
82,The Searchers,https://https://www.metacritic.com/movie/the-searchers
83,45 Years,https://https://www.metacritic.com/movie/45-years
84,Taxi Driver,https://https://www.metacritic.com/movie/taxi-driver
85,The Servant,https://https://www.metacritic.com/movie/the-servant
86,Pulp Fiction,https://https://www.metacritic.com/movie/pulp-fiction
87,The Manchurian Candidate,https://https://www.metacritic.com/movie/the-manchurian-candidate-1962
88,Mr. Turner,https://https://www.metacritic.com/movie/mr-turner
89,The Irishman,https://https://www.metacritic.com/movie/the-irishman
90,Amazing Grace,https://https://www.metacritic.com/movie/amazing-grace-1972
91,Grave of the Fireflies (1988),https://https://www.metacritic.com/movie/grave-of-the-fireflies
92,The Wild Child,https://https://www.metacritic.com/movie/the-wild-child
93,Shadow of a Doubt,https://https://www.metacritic.com/movie/shadow-of-a-doubt
94,Inside Out,https://https://www.metacritic.com/movie/inside-out-2015
95,Sideways,https://https://www.metacritic.com/movie/sideways
96,Schindler's List,https://https://www.metacritic.com/movie/schindlers-list
97,Meet Me in St. Louis,https://https://www.metacritic.com/movie/meet-me-in-st-louis
98,The Apartment,https://https://www.metacritic.com/movie/the-apartment
99,Apocalypse Now,https://https://www.metacritic.com/movie/apocalypse-now
100,The Gunfighter,https://https://www.metacritic.com/movie/the-gunfighter
101,We Were Here,https://https://www.metacritic.com/movie/we-were-here
102,Faces Places,https://https://www.metacritic.com/movie/faces-places
103,Chimes at Midnight,https://https://www.metacritic.com/movie/chimes-at-midnight
104,The Lord of the Rings: The Return of the King,https://https://www.metacritic.com/movie/the-lord-of-the-rings-the-return-of-the-king
105,Call Me by Your Name,https://https://www.metacritic.com/movie/call-me-by-your-name
106,Carlos,https://https://www.metacritic.com/movie/carlos
107,Marriage Story,https://https://www.metacritic.com/movie/marriage-story
108,The French Connection,https://https://www.metacritic.com/movie/the-french-connection
109,La La Land,https://https://www.metacritic.com/movie/la-la-land
110,"Crouching Tiger, Hidden Dragon",https://https://www.metacritic.com/movie/crouching-tiger-hidden-dragon
111,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://https://www.metacritic.com/movie/jeanne-dielman-23-quai-du-commerce-1080-bruxelles
112,Petite Maman,https://https://www.metacritic.com/movie/petite-maman
113,The Magnificent Ambersons,https://https://www.metacritic.com/movie/the-magnificent-ambersons
114,Reversal of Fortune,https://https://www.metacritic.com/movie/reversal-of-fortune
115,David Byrne’s American Utopia,https://https://www.metacritic.com/movie/american-utopia
116,Lady Bird,https://https://www.metacritic.com/movie/lady-bird
117,Saint Omer,https://https://www.metacritic.com/movie/saint-omer
118,Shoplifters,https://https://www.metacritic.com/movie/shoplifters
119,Shoah: Four Sisters,https://https://www.metacritic.com/movie/shoah-four-sisters
120,The 39 Steps,https://https://www.metacritic.com/movie/the-39-steps
121,Duck Soup,https://https://www.metacritic.com/movie/duck-soup
122,Days of Heaven,https://https://www.metacritic.com/movie/days-of-heaven
123,Toni Erdmann,https://https://www.metacritic.com/movie/toni-erdmann
124,Yi Yi,https://https://www.metacritic.com/movie/yi-yi
125,McCabe & Mrs. Miller,https://https://www.metacritic.com/movie/mccabe-mrs-miller
126,Inside Llewyn Davis,https://https://www.metacritic.com/movie/inside-llewyn-davis
127,The Best Years of Our Lives,https://https://www.metacritic.com/movie/the-best-years-of-our-lives
128,Stagecoach,https://https://www.metacritic.com/movie/stagecoach
129,Sherpa,https://https://www.metacritic.com/movie/sherpa
130,There Will Be Blood,https://https://www.metacritic.com/movie/there-will-be-blood
131,Badlands,https://https://www.metacritic.com/movie/badlands
132,The Last Picture Show,https://https://www.metacritic.com/movie/the-last-picture-show
133,Do the Right Thing,https://https://www.metacritic.com/movie/do-the-right-thing
134,Sita Sings the Blues,https://https://www.metacritic.com/movie/sita-sings-the-blues
135,The Decline of Western Civilization,https://https://www.metacritic.com/movie/the-decline-of-western-civilization
136,Yojimbo,https://https://www.metacritic.com/movie/yojimbo
137,Rio Bravo,https://https://www.metacritic.com/movie/rio-bravo
138,Brother's Keeper,https://https://www.metacritic.com/movie/brothers-keeper
139,Sankofa,https://https://www.metacritic.com/movie/sankofa
140,Crumb,https://https://www.metacritic.com/movie/crumb
141,Spotlight,https://https://www.metacritic.com/movie/spotlight
142,The Band Wagon,https://https://www.metacritic.com/movie/the-band-wagon
143,One More Time with Feeling,https://https://www.metacritic.com/movie/one-more-time-with-feeling
144,Ride the High Country,https://https://www.metacritic.com/movie/ride-the-high-country
145,The Diving Bell and the Butterfly,https://https://www.metacritic.com/movie/the-diving-bell-and-the-butterfly
146,Invasion of the Body Snatchers,https://https://www.metacritic.com/movie/invasion-of-the-body-snatchers-1956
147,Mr. Bachmann and His Class,https://https://www.metacritic.com/movie/mr-bachmann-and-his-class
148,The Class,https://https://www.metacritic.com/movie/the-class
149,Platoon,https://https://www.metacritic.com/movie/platoon
150,35 Shots of Rum,https://https://www.metacritic.com/movie/35-shots-of-rum
151,Apocalypse Now: Final Cut,https://https://www.metacritic.com/movie/apocalypse-now-final-cut
152,Chinatown,https://https://www.metacritic.com/movie/chinatown
153,The Florida Project,https://https://www.metacritic.com/movie/the-florida-project
154,Timbuktu,https://https://www.metacritic.com/movie/timbuktu
155,Frenzy,https://https://www.metacritic.com/movie/frenzy
156,Brief Encounter,https://https://www.metacritic.com/movie/brief-encounter
157,No Country for Old Men,https://https://www.metacritic.com/movie/no-country-for-old-men
158,Cool Hand Luke,https://https://www.metacritic.com/movie/cool-hand-luke
159,Little Women,https://https://www.metacritic.com/movie/little-women-1933
160,Maborosi,https://https://www.metacritic.com/movie/maborosi
161,Top Hat,https://https://www.metacritic.com/movie/top-hat
162,Apocalypse Now Redux,https://https://www.metacritic.com/movie/apocalypse-now-redux
163,Nomadland,https://https://www.metacritic.com/movie/nomadland
164,Never Rarely Sometimes Always,https://https://www.metacritic.com/movie/never-rarely-sometimes-always
165,Annie Hall,https://https://www.metacritic.com/movie/annie-hall
166,The Lord of the Rings: The Fellowship of the Ring,https://https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring
167,Quiz Show,https://https://www.metacritic.com/movie/quiz-show
168,Leviathan,https://https://www.metacritic.com/movie/leviathan-2014
169,Werckmeister Harmonies,https://https://www.metacritic.com/movie/werckmeister-harmonies
170,Toy Story 3,https://https://www.metacritic.com/movie/toy-story-3
171,The Souvenir,https://https://www.metacritic.com/movie/the-souvenir
172,This Is Spinal Tap,https://https://www.metacritic.com/movie/this-is-spinal-tap
173,The Look of Silence,https://https://www.metacritic.com/movie/the-look-of-silence
174,Tower,https://https://www.metacritic.com/movie/tower
175,Drive My Car,https://https://www.metacritic.com/movie/drive-my-car
176,Moolaadé,https://https://www.metacritic.com/movie/moolaade
177,Atanarjuat: The Fast Runner,https://https://www.metacritic.com/movie/atanarjuat-the-fast-runner
178,Ikiru,https://https://www.metacritic.com/movie/ikiru
179,Time,https://https://www.metacritic.com/movie/time-2020
180,Gavagai,https://https://www.metacritic.com/movie/gavagai
181,The Man Who Would Be King,https://https://www.metacritic.com/movie/the-man-who-would-be-king
182,The Killing,https://https://www.metacritic.com/movie/the-killing
183,Swing Time,https://https://www.metacritic.com/movie/swing-time
184,Breaking Away,https://https://www.metacritic.com/movie/breaking-away
185,After Life,https://https://www.metacritic.com/movie/after-life
186,Son of Saul,https://https://www.metacritic.com/movie/son-of-saul
187,Love Affair,https://https://www.metacritic.com/movie/love-affair-1939
188,Frankenstein,https://https://www.metacritic.com/movie/frankenstein
189,8½,https://https://www.metacritic.com/movie/-1963
190,Little Women,https://https://www.metacritic.com/movie/little-women-2019
191,E.T. The Extra-Terrestrial,https://https://www.metacritic.com/movie/et-the-extra-terrestrial
192,The African Queen,https://https://www.metacritic.com/movie/the-african-queen
193,The Triplets of Belleville,https://https://www.metacritic.com/movie/the-triplets-of-belleville
194,The Queen,https://https://www.metacritic.com/movie/the-queen
195,Flee,https://https://www.metacritic.com/movie/flee
196,All Quiet on the Western Front,https://https://www.metacritic.com/movie/all-quiet-on-the-western-front
197,EX LIBRIS: The New York Public Library,https://https://www.metacritic.com/movie/ex-libris-new-york-public-library
198,A Bread Factory Part Two: Walk With Me a While,https://https://www.metacritic.com/movie/a-bread-factory-part-two
199,The Ladykillers,https://https://www.metacritic.com/movie/the-ladykillers-1955
200,Young Mr. Lincoln,https://https://www.metacritic.com/movie/young-mr-lincoln
201,Stories We Tell,https://https://www.metacritic.com/movie/stories-we-tell
202,A Bread Factory Part One: For the Sake of Gold,https://https://www.metacritic.com/movie/a-bread-factory-part-one
203,The Act of Killing,https://https://www.metacritic.com/movie/the-act-of-killing
204,On the Waterfront,https://https://www.metacritic.com/movie/on-the-waterfront
205,Jafar Panahi's Taxi,https://https://www.metacritic.com/movie/jafar-panahis-taxi
206,Ida,https://https://www.metacritic.com/movie/ida
207,Beau Travail,https://https://www.metacritic.com/movie/beau-travail
208,Her,https://https://www.metacritic.com/movie/her
209,Uncut Gems,https://https://www.metacritic.com/movie/uncut-gems
210,Waltz with Bashir,https://https://www.metacritic.com/movie/waltz-with-bashir
211,"This Is Not a Burial, It's a Resurrection",https://https://www.metacritic.com/movie/this-is-not-a-burial-its-a-resurrection
212,They Shall Not Grow Old,https://https://www.metacritic.com/movie/they-shall-not-grow-old
213,Secrets & Lies,https://https://www.metacritic.com/movie/secrets-lies
214,Memoria,https://https://www.metacritic.com/movie/memoria-2020
215,An Autumn Afternoon,https://https://www.metacritic.com/movie/an-autumn-afternoon
216,Patton,https://https://www.metacritic.com/movie/patton
217,The Favourite,https://https://www.metacritic.com/movie/the-favourite
218,The Sweet Hereafter,https://https://www.metacritic.com/movie/the-sweet-hereafter
219,TÁR,https://https://www.metacritic.com/movie/tar-2022
220,The Right Stuff,https://https://www.metacritic.com/movie/the-right-stuff
221,Bambi,https://https://www.metacritic.com/movie/bambi
222,Bringing Up Baby,https://https://www.metacritic.com/movie/bringing-up-baby
223,The Gatekeepers,https://https://www.metacritic.com/movie/the-gatekeepers
224,Nostalgia for the Light,https://https://www.metacritic.com/movie/nostalgia-for-the-light
225,The Rider,https://https://www.metacritic.com/movie/the-rider
226,David Copperfield,https://https://www.metacritic.com/movie/david-copperfield
227,Saving Private Ryan,https://https://www.metacritic.com/movie/saving-private-ryan
228,Burning,https://https://www.metacritic.com/movie/burning
229,The Worst Person in the World,https://https://www.metacritic.com/movie/the-worst-person-in-the-world
230,Ben-Hur,https://https://www.metacritic.com/movie/ben-hur-1959
231,After Hours,https://https://www.metacritic.com/movie/after-hours
232,The Crying Game,https://https://www.metacritic.com/movie/the-crying-game
233,Great Expectations,https://https://www.metacritic.com/movie/great-expectations-1947
234,Winter's Bone,https://https://www.metacritic.com/movie/winters-bone
235,Gett: The Trial of Viviane Amsalem,https://https://www.metacritic.com/movie/gett-the-trial-of-viviane-amsalem
236,I Called Him Morgan,https://https://www.metacritic.com/movie/i-called-him-morgan
237,Close Encounters of the Third Kind,https://https://www.metacritic.com/movie/close-encounters-of-the-third-kind
238,The Godfather: Part II,https://https://www.metacritic.com/movie/the-godfather-part-ii
239,Red Beard,https://https://www.metacritic.com/movie/red-beard
240,The Hustler,https://https://www.metacritic.com/movie/the-hustler
241,Hit the Road,https://https://www.metacritic.com/movie/hit-the-road
242,L.A. Confidential,https://https://www.metacritic.com/movie/la-confidential
243,Procession,https://https://www.metacritic.com/movie/procession
244,Bloody Sunday,https://https://www.metacritic.com/movie/bloody-sunday
245,My Voyage to Italy,https://https://www.metacritic.com/movie/my-voyage-to-italy
246,Phantom Thread,https://https://www.metacritic.com/movie/phantom-thread
247,Goodfellas,https://https://www.metacritic.com/movie/goodfellas
248,All the Beauty and the Bloodshed,https://https://www.metacritic.com/movie/all-the-beauty-and-the-bloodshed
249,Wojnarowicz,https://https://www.metacritic.com/movie/wojnarowicz
250,Paths of the Soul,https://https://www.metacritic.com/movie/paths-of-the-soul
